,一般,格斗,飞行,毒,地面,岩石,虫,幽灵,钢,火,水,草,电,超能力,冰,龙,恶,妖精
一般,1×,1×,1×,1×,1×,1⁄2×,1×,0×,1⁄2×,1×,1×,1×,1×,1×,1×,1×,1×,1×
格斗,2×,1×,1⁄2×,1⁄2×,1×,2×,1⁄2×,0×,2×,1×,1×,1×,1×,1⁄2×,2×,1×,2×,1⁄2×
飞行,1×,2×,1×,1×,1×,1⁄2×,2×,1×,1⁄2×,1×,1×,2×,1⁄2×,1×,1×,1×,1×,1×
毒,1×,1×,1×,1⁄2×,1⁄2×,1⁄2×,1×,1⁄2×,0×,1×,1×,2×,1×,1×,1×,1×,1×,2×
地面,1×,1×,0×,2×,1×,2×,1⁄2×,1×,2×,2×,1×,1⁄2×,2×,1×,1×,1×,1×,1×
岩石,1×,1⁄2×,2×,1×,1⁄2×,1×,2×,1×,1⁄2×,2×,1×,1×,1×,1×,2×,1×,1×,1×
虫,1×,1⁄2×,1⁄2×,1⁄2×,1×,1×,1×,1⁄2×,1⁄2×,1⁄2×,1×,2×,1×,2×,1×,1×,2×,1⁄2×
幽灵,0×,1×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,1⁄2×,1×
钢,1×,1×,1×,1×,1×,2×,1×,1×,1⁄2×,1⁄2×,1⁄2×,1×,1⁄2×,1×,2×,1×,1×,2×
火,1×,1×,1×,1×,1×,1⁄2×,2×,1×,2×,1⁄2×,1⁄2×,2×,1×,1×,2×,1⁄2×,1×,1×
水,1×,1×,1×,1×,2×,2×,1×,1×,1×,2×,1⁄2×,1⁄2×,1×,1×,1×,1⁄2×,1×,1×
草,1×,1×,1⁄2×,1⁄2×,2×,2×,1⁄2×,1×,1⁄2×,1⁄2×,2×,1⁄2×,1×,1×,1×,1⁄2×,1×,1×
电,1×,1×,2×,1×,0×,1×,1×,1×,1×,1×,2×,1⁄2×,1⁄2×,1×,1×,1⁄2×,1×,1×
超能力,1×,2×,1×,2×,1×,1×,1×,1×,1⁄2×,1×,1×,1×,1×,1⁄2×,1×,1×,0×,1×
冰,1×,1×,2×,1×,2×,1×,1×,1×,1⁄2×,1⁄2×,1⁄2×,2×,1×,1×,1⁄2×,2×,1×,1×
龙,1×,1×,1×,1×,1×,1×,1×,1×,1⁄2×,1×,1×,1×,1×,1×,1×,2×,1×,0×
恶,1×,1⁄2×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,1⁄2×,1⁄2×
妖精,1×,2×,1×,1⁄2×,1×,1×,1×,1×,1⁄2×,1⁄2×,1×,1×,1×,1×,1×,2×,2×,1×
