place,type,num,max,min,mean
dayuecheng,xiaochi,15,90,10,31.8
dayuecheng,zizhu,5,380,66,158.2
dayuecheng,huoguo,15,199,49,82.66666666666667
dayuecheng,hubeicai,12,128,50,69.16666666666667
dayuecheng,shaokao,15,138,14,80.86666666666666
dayuecheng,mianguan,15,33,11,12.6
dayuecheng,tesecai,13,245,58,50.76923076923077
dayuecheng,xican,10,136,27,77.7
dayuecheng,hanguoliaoli,4,128,96,84.25
dayuecheng,chuancai,15,163,20,56.2
dayuecheng,ribencai,10,163,25,74.6
dayuecheng,xiangcai,6,77,75,38.0
dayuecheng,kaorou,15,138,14,80.86666666666666
dayuecheng,yuecai,4,113,65,62.75
dayuecheng,xiaolongxia,4,90,24,37.75
dayuecheng,luoshifen,2,15,11,13.0
dayuecheng,dongbeicai,1,18,18,18.0
dayuecheng,dongnanyacai,1,88,88,88.0
dayuecheng,xinjiangcai,1,24,24,24.0
dayuecheng,beibingcai,1,74,74,74.0
zuoling,xiaochi,15,99,7,39.4
zuoling,zizhu,0,0,1000,0
zuoling,huoguo,15,91,24,72.46666666666667
zuoling,hubeicai,9,106,42,72.33333333333333
zuoling,shaokao,15,93,38,66.53333333333333
zuoling,mianguan,15,19,9,10.066666666666666
zuoling,tesecai,13,101,40,53.30769230769231
zuoling,xican,1,103,103,103.0
zuoling,hanguoliaoli,3,97,55,69.66666666666667
zuoling,chuancai,15,93,18,23.2
zuoling,ribencai,2,64,64,32.0
zuoling,xiangcai,4,0,1000,0.0
zuoling,kaorou,8,77,53,63.375
zuoling,yuecai,1,0,1000,0.0
zuoling,xiaolongxia,5,99,53,75.6
zuoling,luoshifen,2,31,14,22.5
zuoling,dongbeicai,6,74,28,43.666666666666664
zuoling,dongnanyacai,0,0,1000,0
zuoling,xinjiangcai,0,0,1000,0
zuoling,beibingcai,3,33,27,20.0
guanggu,xiaochi,15,65,9,31.533333333333335
guanggu,zizhu,12,218,50,88.83333333333333
guanggu,huoguo,15,112,26,78.6
guanggu,hubeicai,8,113,11,31.25
guanggu,shaokao,15,135,50,84.26666666666667
guanggu,mianguan,15,33,5,12.933333333333334
guanggu,tesecai,7,54,29,26.0
guanggu,xican,15,236,47,92.33333333333333
guanggu,hanguoliaoli,15,135,14,62.46666666666667
guanggu,chuancai,15,104,31,61.2
guanggu,ribencai,15,123,9,48.266666666666666
guanggu,xiangcai,15,90,37,52.666666666666664
guanggu,kaorou,15,135,9,65.0
guanggu,yuecai,6,84,14,35.0
guanggu,xiaolongxia,13,124,26,56.23076923076923
guanggu,luoshifen,5,31,16,13.0
guanggu,dongbeicai,4,58,18,34.5
guanggu,dongnanyacai,4,92,65,58.25
guanggu,xinjiangcai,9,30,12,14.444444444444445
guanggu,beibingcai,2,24,12,18.0
lumo,xiaochi,15,45,5,20.4
lumo,zizhu,0,0,1000,0
lumo,huoguo,0,0,1000,0
lumo,hubeicai,1,40,40,40.0
lumo,shaokao,2,52,43,47.5
lumo,mianguan,3,12,5,8.666666666666666
lumo,tesecai,3,95,26,53.666666666666664
lumo,xican,1,55,55,55.0
lumo,hanguoliaoli,0,0,1000,0
lumo,chuancai,4,49,25,30.0
lumo,ribencai,0,0,1000,0
lumo,xiangcai,2,68,68,34.0
lumo,kaorou,0,0,1000,0
lumo,yuecai,1,30,30,30.0
lumo,xiaolongxia,0,0,1000,0
lumo,luoshifen,0,0,1000,0
lumo,dongbeicai,0,0,1000,0
lumo,dongnanyacai,0,0,1000,0
lumo,xinjiangcai,0,0,1000,0
lumo,beibingcai,0,0,1000,0
jianghan,xiaochi,15,125,14,51.4
jianghan,zizhu,15,127,37,77.0
jianghan,huoguo,15,109,27,82.73333333333333
jianghan,hubeicai,15,84,45,66.53333333333333
jianghan,shaokao,15,130,9,75.8
jianghan,mianguan,15,48,9,21.133333333333333
jianghan,tesecai,15,89,29,55.2
jianghan,xican,15,106,22,71.6
jianghan,hanguoliaoli,15,107,20,72.53333333333333
jianghan,chuancai,15,165,42,67.13333333333334
jianghan,ribencai,15,165,25,82.6
jianghan,xiangcai,15,179,48,59.8
jianghan,kaorou,15,95,53,74.8
jianghan,yuecai,15,273,12,45.8
jianghan,xiaolongxia,15,125,25,81.33333333333333
jianghan,luoshifen,7,32,11,16.714285714285715
jianghan,dongbeicai,6,62,26,46.166666666666664
jianghan,dongnanyacai,5,61,50,22.2
jianghan,xinjiangcai,3,44,27,23.666666666666668
jianghan,beibingcai,7,41,6,20.714285714285715
